,Flux
563,0.2557136869275217
564,0.27222607712735614
565,0.2696310434425896
566,0.24810334156063849
567,0.20910778440000152
568,0.1552995575894429
569,0.09034338773307211
570,0.018663902959996755
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.03834344150714645
584,0.10876781308559487
585,0.17123432484828366
586,0.22148609768762484
587,0.25609788728729715
588,0.27270963923290237
589,0.27018748961019495
590,0.24870121059102882
591,0.20971279987944277
592,0.15587698802150107
593,0.09086043587042944
594,0.01909195987042725
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0382370649926394
608,0.1087878167145819
609,0.17138623511116588
610,0.22176637133541377
611,0.2564941621805222
612,0.27320159177195286
613,0.27074823932051856
614,0.249299174766973
615,0.21031387023967715
616,0.15644687924815662
617,0.09136704419742428
618,0.019507569385886814
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.038149173225069374
632,0.10882611398390143
633,0.17155516136132937
634,0.22206138463291122
635,0.25690205832540963
636,0.2737014197089191
637,0.2713127489257159
638,0.24989669694282543
639,0.21091049950912588
640,0.15700880830989183
641,0.09186288958947626
642,0.01991052818442028
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.03807976560341443
656,0.1088825700029628
657,0.17174084139334828
658,0.2223707637829021
659,0.2573211137261363
660,0.2742086023064865
661,0.2718804724463456
662,0.25049324113382715
663,0.21150219624896097
664,0.15756235981475053
665,0.09234765898361556
666,0.02030064477218779
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.038028827486103284
680,0.10895703581589705
681,0.1719429998338851
682,0.2226941235773208
683,0.25775085747635285
684,0.2747226129911961
685,0.27245086150465353
686,0.25108827252512167
687,0.21208847364925124
688,0.15810712610266478
689,0.09282104957202861
690,0.02067773970406455
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.03799632963689825
704,0.10904934790273338
705,0.17216134771897204
706,0.22303106708335688
707,0.2581908095678455
708,0.27524291929092726
709,0.27302336538479044
710,0.25168125763900695
711,0.2126688497728778
712,0.15864270754084356
713,0.09328276913840172
714,0.02104164590562603
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.03798222793839257
728,0.10915932797680229
729,0.1723955823961352
730,0.22338118562296433
731,0.25864048093490527
732,0.27576898291407564
733,0.2735974311273579
734,0.2522716644158177
735,0.2132428475946129
736,0.15916871249802436
737,0.09373253593827625
738,0.021392208463224826
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.03798646393052305
752,0.10928678357813773
753,0.17264538810000418
754,0.2237440592927033
755,0.2590993738545255
756,0.2763002599875479
757,0.27417250354704803
758,0.25285896198096713
759,0.2138099945133652
760,0.15968475660478412
761,0.09417007773824752
762,0.021729283490301197
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.03800896635231466
776,0.10943150959873446
777,0.17291043734954975
778,0.22411925810510067
779,0.2595669827313668
780,0.27683620139511256
781,0.2747480250835037
782,0.2534426199896452
783,0.2143698211935992
784,0.16019046115710617
785,0.09459512988094158
786,0.02205273596349996
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.03804965355761885
800,0.10959329059034556
801,0.17319039297161581
802,0.22450634356846155
803,0.26004279510140854
804,0.2773762531134121
805,0.27532343541618753
806,0.25402210752210586
807,0.21492185980855452
808,0.16068545079719243
809,0.0950074325239509
810,0.022362436712189016
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,0.03810843649179778
824,0.10977190355193253
825,0.17348491048253542
826,0.224904870491233
827,0.26052629271533034
828,0.27791985648005757
829,0.2758981708783307
830,0.25459689166361554
831,0.21546564185639522
832,0.16116935070233301
833,0.09540672739817603
834,0.022658258934659645
835,0.0
836,0.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,0.0
843,0.0
844,0.0
845,0.0
846,0.0
847,0.0381852218717323
848,0.10996712089558985
849,0.1737936406438415
850,0.22531438892051348
851,0.26101695271637687
852,0.2784664485176313
853,0.27647166389752775
854,0.2551664360877413
855,0.2160006959705524
856,0.1616417837582895
857,0.09579275451165319
858,0.022940074650521794
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.038279915273344414
872,0.11017871339379977
873,0.17411623205437152
874,0.22573444623032723
875,0.26151424909082305
876,0.27901546265935345
877,0.27704334294769206
878,0.25573020024497756
879,0.21652654641186245
880,0.1621023684526229
881,0.09616524958339749
882,0.023207751840076563
883,0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
